probe_id,fsetid,atom,x,y,man_fsetid,type,start,stop,feature_type,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,GFP_mean_log2,GFP_sd_log2,DNp73beta_mean_log2,DNp73beta_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta,region_midpoint,probe_plot_x
5434987,23696854,2066800,2626,2027,PSR0100145796.hg.1,2,3727628.0,3727770.0,probeset_region,6819.8887,5087.4443,4444.3335,59.77778,65.22222,81.44444,7516.6665,7390.6665,7366.6665,12.735744000302178,12.313008940595681,12.118075941087765,5.925472041472529,6.049243500551913,6.365350345510325,12.876069201129425,12.851683951587285,12.846992044238778,6.113355295844922,0.22683908903132508,12.388942960661874,0.31575772262287544,12.858248398985163,0.015610549011500415,6.744893103140241,6.2755876648169515,0.4693054383232891,3727699.0,3727728.82
5864385,23696854,2066801,544,2188,PSR0100145796.hg.1,2,3727628.0,3727770.0,probeset_region,12782.889,12623.223,11254.889,106.0,38.88889,136.0,12107.777,12367.0,12782.889,13.642039129314616,13.623906935374274,13.458392344106457,6.741466986401147,5.3179150477106685,7.098032082960526,13.563765579085448,13.594324603924848,13.642039129314616,6.385804705690781,0.941847072637995,13.574779469598449,0.10120111832133616,13.600043104108304,0.0394488668991984,7.214238398417523,7.188974763907668,0.025263634509855137,3727699.0,3727748.7
254094,23696855,2066802,2173,94,PSR0100145797.hg.1,2,3728129.0,3728217.0,probeset_region,10887.777,9376.556,8819.667,1080.8889,1148.1111,715.44446,11508.889,11173.777,11264.556,13.410554348375934,13.194996206241562,13.106672036809789,10.079336661330938,10.166302553983789,9.484711054398035,13.49058625877888,13.447958465699173,13.459630854597854,9.91011675657092,0.37096937232355315,13.237407530475762,0.15631748186997418,13.466058526358637,0.022028808613037246,3.555941769787717,3.327290773904842,0.22865099588287485,3728173.0,3728142.2
1200074,23696855,2066803,2113,447,PSR0100145797.hg.1,2,3728129.0,3728217.0,probeset_region,6881.1113,5147.222,4749.0,47.11111,29.88889,46.11111,6970.1113,7634.222,7486.5557,12.748635514608933,12.329858598071272,12.213711798105672,5.588298200574378,4.949016091077759,5.557995440141064,12.767172952200411,12.898454421509165,12.87027910790153,5.365103243931067,0.3606604405804009,12.430735303595291,0.2813679582103305,12.845302160537036,0.06911289294120755,7.4801989166059695,7.065632059664225,0.4145668569417449,3728173.0,3728154.52
3895524,23696855,2066804,1483,1453,PSR0100145797.hg.1,2,3728129.0,3728217.0,probeset_region,9465.0,6941.8887,6611.0,186.77777,107.111115,106.44444,9311.889,10254.889,9856.556,13.208539206738363,12.761320322898642,12.690871009292314,7.552882477623614,6.756371038588088,6.747447055269504,13.185013017020662,13.32416488618528,13.267014236689592,7.018900190493735,0.46246375165618087,12.886910179643108,0.2807573681127207,13.258730713298512,0.06994478710261154,6.239830522804777,5.868009989149373,0.3718205336554039,3728173.0,3728166.84
5518528,23696855,2066805,407,2059,PSR0100145797.hg.1,2,3728129.0,3728217.0,probeset_region,9839.444,7260.6665,7686.4443,279.66666,232.88889,201.33333,9862.777,9851.889,10528.556,13.26450774522462,12.82608495974532,12.90828834361984,8.132713870055976,7.869679495595741,7.660590169268002,13.267924518639132,13.266331040867536,13.362156937016692,7.887661178306573,0.23657494139546548,12.999627016196593,0.233046560879837,13.298804165507788,0.054870894254120076,5.411142987201215,5.11196583789002,0.29917714931119477,3728173.0,3728179.16
6038412,23696855,2066806,371,2253,PSR0100145797.hg.1,2,3728129.0,3728217.0,probeset_region,9933.111,7360.5557,6868.3335,168.33333,225.22223,172.77777,10229.667,10014.556,10317.333,13.278175199308578,12.845794957421358,12.745954411576347,7.403722142716798,7.821596887882458,7.441099739563813,13.320612584745387,13.289954843790339,13.332922292595496,7.55547292338769,0.23122660864468864,12.956641522768761,0.2828956742521278,13.314496573710407,0.022127010811244956,5.7590236503227175,5.401168599381071,0.35785505094164627,3728173.0,3728191.48
6884369,23696855,2066807,2128,2568,PSR0100145797.hg.1,2,3728129.0,3728217.0,probeset_region,4830.6665,2298.889,2455.3333,91.0,64.333336,129.66667,4883.8887,5103.0,5910.222,12.238305163628711,11.16734846575192,11.26229058980209,6.523561956057013,6.029747399551651,7.029747399551651,12.254109967763826,12.31741261376487,12.529240728665448,6.527685585053438,0.5000127530744342,11.55598140639424,0.5928134478861907,12.366921103398049,0.14409216428347246,5.839235518344611,5.028295821340802,0.8109396970038087,3728173.0,3728203.8
1233559,23696856,2066808,758,460,PSR0100145798.hg.1,2,3729327.0,3729448.0,probeset_region,8084.0,7130.1113,6709.0,100.0,74.111115,64.111115,9393.889,8717.223,8861.333,12.981032058361023,12.799911211630935,12.712097051087547,6.658211482751795,6.230954499969395,6.024831928112286,13.197660350672988,13.089818334071564,13.11347082269034,6.304665970277825,0.323059515724438,12.831013440359834,0.13713869260068393,13.133649835811632,0.05668218030454872,6.828983865533806,6.526347470082009,0.3026363954517972,3729387.5,3729345.15
1528031,23696856,2066809,430,570,PSR0100145798.hg.1,2,3729327.0,3729448.0,probeset_region,12189.0,10956.333,11397.777,423.44446,409.55554,922.2222,12917.667,12699.0,12678.111,13.573410505507574,13.419609071586866,13.476591465807356,8.729431967582954,8.681433599929433,9.850534150854758,13.65716959331383,13.63254087654689,13.630166010875648,9.087133239455715,0.6615600308876116,13.489870347633932,0.07775581519050304,13.639958826912123,0.01495218568770817,4.552825587456407,4.402737108178217,0.1500884792781907,3729387.5,3729362.09
