man_fsetid,fsetid,type,start,stop,feature_type,n_pm_probes,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,GFP_mean_log2,GFP_sd_log2,DNp73beta_mean_log2,DNp73beta_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta,midpoint
PSR0100145807.hg.1,23696862,2,3733092.0,3733141.0,probeset_region,6,424.6666564941406,323.0,434.6111145019531,411.8888854980469,378.4444274902344,405.22222900390625,523.3333740234375,438.5555419921875,381.6666564941406,8.73358027450423,8.339850002884624,8.766896954280154,8.689609773092235,8.56774479727312,8.666125377700855,9.034340566652718,8.77990166479955,8.579944387603,8.641159982688736,0.06465463087770038,8.613442410556337,0.23752285035239482,8.798062206351757,0.22774179641832973,0.1569022236630211,-0.027717572132399226,0.18461979579542032,3733116.5
PSR0100145808.hg.1,23696863,2,3733142.0,3733292.0,probeset_region,6,63.888893127441406,95.05555725097656,71.33332824707031,78.38888549804688,81.5,82.77777862548828,90.5,95.55555725097656,66.27777862548828,6.019899651674771,6.585797177664144,6.176588630277332,6.310865138033407,6.366322214245816,6.388495726424349,6.515699838284043,6.5932873907044,6.072058166430199,6.355227692901191,0.039986789898424434,6.260761819872083,0.2921880334050981,6.393681798472881,0.28122282551188854,0.03845410557168982,-0.09446587302910814,0.13291997860079796,3733217.0
PSR0100145809.hg.1,23696864,2,3733293.0,3733367.0,probeset_region,6,190.0,188.4444580078125,259.5,169.61111450195312,168.72222900390625,242.05555725097656,193.0,283.66668701171875,221.1666717529297,7.577428828035749,7.565631125759679,8.025139562278508,7.414567824206671,7.407031720910337,7.925142310228183,7.599912842187128,8.153129862008367,7.795498597396743,7.582247285115063,0.2969797078904859,7.722733172024644,0.2619580407136365,7.849513767197412,0.28053608801974056,0.2672664820823494,0.1404858869095813,0.12678059517276807,3733330.0
PSR0100145810.hg.1,23696865,2,3733368.0,3736200.0,probeset_region,6,46.166664123535156,51.77777862548828,48.833335876464844,39.94444274902344,38.38888931274414,53.11111068725586,55.77777862548828,44.55555725097656,43.5,5.559695664323518,5.7218587249483965,5.639039247101627,5.3555957479138705,5.299716831321731,5.757852949339322,5.827254501035211,5.509555151755277,5.475733430966398,5.471055176191641,0.2499406636418516,5.64019787879118,0.08108773876703598,5.604181027918962,0.19392603746116593,0.13312585172732128,0.16914270259953934,-0.036016850872218065,3734784.0
JUC0100047895.hg.1,23153069,1,,,junction,4,158.16665649414062,155.77777099609375,156.22222900390625,203.88888549804688,170.72222900390625,118.83333587646484,7252.4443359375,6615.77783203125,6880.22216796875,7.314394329997641,7.292577208748773,7.2966613985066955,7.678697915110909,7.423932994391075,6.904885490335359,12.824450513773327,12.691913124439294,12.7484491081762,7.335838799945781,0.39435625708929495,7.30121097908437,0.011598306232873706,12.754937582129607,0.06650650429509337,5.419098782183826,-0.03462782086141036,5.4537266030452365,
JUC0100047896.hg.1,23153070,1,,,junction,4,52.5,65.27777862548828,55.111114501953125,85.94444274902344,66.72222137451172,70.61111450195312,9208.611328125,9635.22265625,9643.5556640625,5.741466986401147,6.050453344705371,5.810214663380126,6.442021912245043,6.0815573911190155,6.162111615232074,13.168924556416403,13.234252013788131,13.23549905782293,6.2285636395320445,0.18919717597740957,5.867378331495548,0.1622310269918615,13.212891876009154,0.038081920563891425,6.9843282364771095,-0.3611853080364966,7.345513544513606,
JUC0100047897.hg.1,23153071,1,,,junction,4,50.44444274902344,69.5,67.44444274902344,127.94444274902344,46.11111068725586,73.66667175292969,9872.4443359375,10807.6669921875,10723.8330078125,5.6849433342719635,6.139551352398794,6.0968615035159335,7.01060578693295,5.557995440141064,6.222392519612245,13.269337739104582,13.399900989361802,13.38866756380794,6.263664582228753,0.7271841185464493,5.973785396728897,0.25105359703197166,13.352635430758108,0.07235624740492676,7.088970848529355,-0.2898791854998555,7.3788500340292105,
JUC0100047898.hg.1,23153072,1,,,junction,4,9601.27734375,7412.388671875,7297.1669921875,96.11111450195312,80.27777862548828,84.94444274902344,10425.77734375,10236.9453125,10232.166015625,13.229160890797555,12.855917436180404,12.83331844682653,6.601564518433066,6.344789067743187,6.425332451546763,13.348005705325715,13.321638584642898,13.320964945785168,6.457228679241005,0.1313256830368298,12.972798924601497,0.22230333300219787,13.330203078584594,0.015421205740487054,6.872974399343589,6.515570245360491,0.3574041539830972,
JUC0100047899.hg.1,23153073,1,,,junction,4,7278.72265625,6201.72216796875,6038.77783203125,76.77777862548828,82.61111450195312,58.333335876464844,7552.22216796875,8363.2783203125,8425.5,12.829667772163722,12.598685789892492,12.56027976690752,6.281286126114145,6.385622828713134,5.890770992081699,12.882876507122592,13.030025352884904,13.040717807744649,6.185893315636325,0.26085326578848667,12.662877776321245,0.14571524520526571,12.984539889250714,0.08820524132401901,6.798646573614389,6.47698446068492,0.32166211292946834,
JUC0100047900.hg.1,23153074,1,,,junction,4,8547.888671875,6912.5556640625,6518.0556640625,185.1666717529297,113.55555725097656,113.05555725097656,8504.5556640625,9357.8330078125,9968.611328125,13.061521171118793,12.755212168873765,12.670447278651338,7.5404510091780566,6.839903637277668,6.833592932111764,13.054189774236928,13.192112929982974,13.283321545963917,7.071315859522496,0.40629521007720676,12.829060206214633,0.2057300337985079,13.176541416727938,0.11535682130882423,6.105225557205442,5.757744346692137,0.3474812105133047,
JUC0100047901.hg.1,23153075,1,,,junction,4,11941.22265625,9465.0556640625,9842.77734375,419.83331298828125,324.6666564941406,378.388916015625,12730.5,12062.888671875,12210.5,13.543783751891482,13.208547690367226,13.264996310530025,8.717105102058735,8.347252206183198,8.567533720282475,13.636114784261991,13.55840739983407,13.575952804251978,8.543963676174803,0.186049593875688,13.339109250929576,0.17948635097849203,13.590158329449347,0.04075484153149139,5.046194653274544,4.795145574754773,0.2510490785197703,
JUC0100047902.hg.1,23153076,1,,,junction,4,5139.6669921875,3044.0,2999.77783203125,51.77777862548828,41.11111068725586,52.44444274902344,5516.77783203125,5336.5556640625,5721.611328125,12.32773984328209,11.572226512793694,11.551120795037267,5.7218587249483965,5.396129022207817,5.739968036561036,12.429871653807169,12.38196349498738,12.48245790901737,5.619318594572417,0.19349980801280015,11.81702905037102,0.44241439660955467,12.43143101927064,0.05026535117050581,6.812112424698223,6.197710455798602,0.614401968899621,
JUC0100047903.hg.1,23153077,1,,,junction,4,10871.8330078125,9936.888671875,9555.77734375,375.72222900390625,160.0,176.61111450195312,11424.5,11455.22265625,12090.77734375,13.40844027518633,13.278723665005185,13.222308491361526,8.557357353741006,7.330916878114617,7.472578054881254,13.479969681089818,13.48384381688944,13.561738698293174,7.786950762245625,0.6709409135053359,13.303157477184348,0.09544117885198085,13.508517398757478,0.04613168407125157,5.721566636511853,5.516206714938723,0.20535992157313032,
JUC0100047904.hg.1,23153078,1,,,junction,4,186.38888549804688,188.11111450195312,187.38888549804688,203.94444274902344,148.0,170.55555725097656,201.72222900390625,252.27777099609375,254.6666717529297,7.549891575469939,7.563090346111781,7.557570041615818,7.6790890603176845,7.219168520462161,7.422532050083397,7.66336048240477,7.984576653793315,7.998120295482924,7.440263210287747,0.2304723872330333,7.55685065439918,0.006628727260159697,7.882019143893669,0.1894850000412749,0.441755933605922,0.11658744411143296,0.32516848949448907,
JUC0100047905.hg.1,23153079,1,,,junction,4,10196.4443359375,8962.333984375,8828.3330078125,123.66667175292969,65.33332824707031,76.5,9992.166015625,10319.111328125,10330.9443359375,13.315920011564797,13.129819738827612,13.108088741486403,6.961932018026852,6.051662009200482,6.2761244052742375,13.286726106965748,13.333170913456696,13.33482415551993,6.429906144167191,0.4742198747995442,13.184609497292938,0.11423614765089081,13.318240391980792,0.027304686819975735,6.888334247813601,6.7547033531257465,0.1336308946878546,
JUC0100047906.hg.1,23153080,1,,,junction,4,4516.4443359375,2180.5,2113.72216796875,103.66667175292969,91.0,91.66667175292969,5473.22216796875,5796.5,6213.6669921875,12.141291108936977,11.091104758376499,11.046252419296753,6.709658318278047,6.523561956057013,6.5339786511886055,12.418438271451658,12.501215199533366,12.601461372385362,6.589066308507888,0.10456553686406721,11.426216095536745,0.6196790614279621,12.507038281123462,0.0916503959525049,5.9179719726155735,4.8371497870288565,1.080822185586717,
JUC0100047907.hg.1,23153081,1,,,junction,4,28.22222137451172,30.72222137451172,44.16666793823242,36.44444274902344,36.22222137451172,31.11111068725586,4783.5,4870.388671875,5138.27783203125,4.868993945998698,4.987421895367501,5.497186581248544,5.226679714416758,5.218092251046435,5.005000662015305,12.224152449663665,12.250117380264266,12.327349931757293,5.1499242091595,0.12558089830633395,5.117867474204915,0.33379414842715155,12.267206587228408,0.05367924015495816,7.117282378068908,-0.03205673495458505,7.149339113023493,
JUC0100047908.hg.1,23153082,1,,,junction,4,453.3888854980469,260.9444580078125,206.5555419921875,134.38888549804688,97.33333587646484,121.44444274902344,6878.27783203125,8011.9443359375,8638.666015625,8.827783736252538,8.033117128822258,7.697353643989919,7.08096549814844,6.619608680839537,6.9359834871526385,12.748041407317434,12.968116739323836,13.076759827732007,6.878852555380206,0.23592474593234147,8.186084836354906,0.580531987089483,12.930972658124425,0.16747749716327343,6.052120102744219,1.3072322809747003,4.7448878217695185,
JUC0100047909.hg.1,23153083,1,,,junction,4,3562.0556640625,1876.388916015625,1693.8333740234375,102.33333587646484,104.72222137451172,96.61111450195312,127.16667175292969,117.0,144.61111450195312,11.798899306903893,10.874511831520389,10.726927727766146,6.691161940059176,6.724134833263775,6.608973524682805,7.001877344493671,6.882643049361842,7.1859766704821055,6.674756766001919,0.05930749573542113,11.133446288730141,0.5810043515049188,7.023499021445873,0.15281833695977712,0.34874225544395365,4.458689522728222,-4.1099472672842685,
JUC0100047910.hg.1,23153084,1,,,junction,4,30.22222137451172,30.38888931274414,28.77777862548828,27.666667938232422,34.55555725097656,28.0,35.72222137451172,29.77777862548828,29.77777862548828,4.9645012796081875,4.9721820753414585,4.896164230085943,4.841302317974485,5.152003162238109,4.857980995127572,5.198581426761628,4.943817204342939,4.943817204342939,4.950428825113389,0.17476757310309896,4.944282528345197,0.04184825714768669,5.028738611815835,0.14708819239331553,0.07830978670244626,-0.0061462967681915615,0.08445608347063782,
JUC0100047911.hg.1,23153085,1,,,junction,4,176.33334350585938,142.05555725097656,139.05555725097656,137.55555725097656,146.4444580078125,118.83333587646484,232.5,207.66665649414062,181.5,7.4703200175386,7.160431732613712,7.129855418880551,7.114320766040749,7.204027786640938,6.904885490335359,7.867278739709662,7.7050562758798975,7.511752653767379,7.074411347672349,0.15351253895243122,7.2535357230109545,0.18836215253007696,7.694695889785646,0.17798933295671493,0.6202845421132972,0.17912437533860537,0.44116016677469183,
JUC0100047912.hg.1,23153086,1,,,junction,4,134.94444274902344,214.61111450195312,190.0,121.6111068725586,139.5,151.77777099609375,990.0,1197.4444580078125,1236.0555419921875,7.086873366644613,7.752287739031906,7.577428828035749,6.9379458629646695,7.134426320220926,7.255290837816985,9.952741247186488,10.226947333395916,10.272694561336758,7.109221007000861,0.1601669102121141,7.472196644570755,0.34496294159300805,10.150794380639722,0.17303752474261438,3.041573373638861,0.36297563756989426,2.6785977360689666,
JUC0100047913.hg.1,23153087,1,,,junction,4,67.11111450195312,62.333335876464844,57.05555725097656,73.44444274902344,76.05555725097656,65.33333587646484,209.16665649414062,292.8333435058594,206.05555725097656,6.089818334071564,5.984893165540789,5.859362267657567,6.218092251046435,6.267827102624302,6.051662175133495,7.715389989777469,8.198854308545206,7.693874114099674,6.179193842934744,0.11321057187601465,5.978024589089973,0.11538146577158176,7.8693728041407836,0.28554208014756255,1.6901789612060396,-0.20116925384477113,1.8913482150508107,
