probe_id,fsetid,atom,x,y,man_fsetid,type,start,stop,feature_type,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,DNp73beta_mean_log2,DNp73beta_sd_log2,GFP_mean_log2,GFP_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta
6319637,24521091,6624211,196,2358,PSR2200160987.hg.1,2,31341405.0,31341683.0,probeset_region,183.22223,451.1111,518.6667,233.33333,215.22223,592.55554,204.0,159.11111,129.0,7.525303343162675,8.82053357445164,9.02144276845842,7.872418347037326,7.756371038588088,9.2132392262257,7.679480099505446,7.322929649285911,7.022367813028454,8.455759895357579,0.812036435574743,8.280676203950371,0.8097049384411886,7.3415925206066035,0.32895344098246593,-0.9390836833437675,0.1750836914072078,-1.1141673747509753
107039,24521092,6624212,2518,39,PSR2200160988.hg.1,2,31342897.0,31342960.0,probeset_region,206.88889,565.44446,595.7778,176.55556,295.77777,579.55554,157.11111,170.55556,207.66667,7.699668818266907,9.145790691124855,9.221049988318674,7.472126705261497,8.2132392262257,9.181290286707986,7.304794976024127,7.422532050083397,7.7050563813772435,8.688836499236812,0.8574704171340618,8.288885406065061,0.8570891408884868,7.477461135828256,0.20570659080201475,-0.8114242702368051,0.3999510931717509,-1.211375363408556
3112658,24521092,6624213,1177,1161,PSR2200160988.hg.1,2,31342897.0,31342960.0,probeset_region,204.66667,501.1111,497.55554,209.22223,257.33334,427.55554,203.66667,178.22223,172.77777,7.684164214106996,8.971862849971457,8.961610427985038,7.715771418437842,8.013090056250196,8.743338383526549,7.6771323805020835,7.485605776304227,7.441099739563813,8.539212497354496,0.7405112781399893,8.157399952738196,0.5287650485836661,7.534612632123374,0.12541573200772163,-0.6227873206148216,0.38181254461630054,-1.004599865231122
3241787,24521092,6624214,1666,1209,PSR2200160988.hg.1,2,31342897.0,31342960.0,probeset_region,131.22223,232.77777,189.44444,170.66667,131.55556,232.77777,139.88889,167.0,165.44444,7.046820930748888,7.868993945998698,7.573226379826676,7.423466164094626,7.050453344705371,7.868993945998698,7.138413993975045,7.392317422778761,7.378896892320991,7.496347085524754,0.4164431968114164,7.447637818266233,0.40980529601318477,7.303209436358266,0.14287470396173352,-0.14442838190796703,0.04870926725852076,-0.1931376491664878
3365075,24521092,6624215,1674,1255,PSR2200160988.hg.1,2,31342897.0,31342960.0,probeset_region,93.77778,142.77777,167.88889,115.44444,103.666664,196.88889,121.0,64.333336,87.55556,6.566476942779717,7.1676968325014165,7.399930577923136,6.863497979089623,6.709658213116682,7.628546774938611,6.930737337562887,6.029747399551651,6.4685109401689616,7.04470145106809,0.430124561463179,7.06723432238164,0.4921589381950661,6.476331892427833,0.45054588286882535,-0.5909024299538066,-0.022532871313549308,-0.5683695586402573
3477250,24521092,6624216,1289,1297,PSR2200160988.hg.1,2,31342897.0,31342960.0,probeset_region,390.8889,748.2222,778.55554,340.33334,353.1111,757.55554,374.66666,346.8889,279.44446,8.614300846500935,9.549249893944511,9.60650800590119,8.415037542274506,8.468058316150275,9.567111009301778,8.553309260384907,8.442482777634538,8.131571263314497,9.256686248782211,0.5570582345179627,8.81673562257552,0.6503846679996635,8.375787767111314,0.21863646279786025,-0.4409478554642057,0.43995062620669145,-0.8808984816708971
3649155,24521092,6624217,1674,1361,PSR2200160988.hg.1,2,31342897.0,31342960.0,probeset_region,284.44446,752.55554,583.6667,391.8889,273.0,663.1111,265.55554,416.1111,243.88889,8.15706624201056,9.557570041615817,9.191470581926037,8.617977545497887,8.098032082960527,9.375280767053985,8.058292367441268,8.704287945116734,7.9359834871526385,8.968702288517472,0.7263415226932262,8.697096798504134,0.6422896094456279,8.232854599903547,0.4128279481618664,-0.46424219860058713,0.27160549001333756,-0.7358476886139247
131206,24521093,6624218,2565,48,PSR2200160989.hg.1,2,31342961.0,31343285.0,probeset_region,1131.1111,1019.1111,996.6667,1265.8889,1185.7778,873.1111,740.6667,894.1111,840.55554,10.14479980860102,9.99451054625824,9.962414092197298,10.307074315581861,10.21283416856689,9.77167282205189,9.5346271595953,9.805922922842964,9.716914681190161,10.033908149018854,0.09736665607119817,10.097193768733547,0.2858202518607496,9.685821587876141,0.13829473282778693,-0.41137218085740557,-0.06328561971469249,-0.3480865611427131
269274,24521093,6624219,1273,100,PSR2200160989.hg.1,2,31342961.0,31343285.0,probeset_region,29.222221,30.333334,26.0,26.555555,28.666666,43.0,28.0,29.333334,26.333334,4.91753779934152,4.969626380230124,4.754887502163468,4.784271297848908,4.890770899327012,5.459431618637297,4.857980995127572,4.922832169716248,4.772589537454517,4.880683893911704,0.11201274122796863,5.044824605271072,0.3629872903120639,4.8511342340994466,0.07535496493042511,-0.19369037117162513,-0.16414071135936759,-0.029549659812257545
1611740,24521093,6624220,1059,601,PSR2200160989.hg.1,2,31342961.0,31343285.0,probeset_region,165.66667,137.11111,175.44444,128.44444,172.55556,115.22222,96.44444,130.44444,105.111115,7.3808218279684885,7.109685615030573,7.463070181838064,7.016189219203382,7.439253750792996,6.86074212428179,6.60650800590119,7.03830933828904,6.729431967582953,7.3178592082790415,0.18491452518136028,7.105395031426056,0.299394694680601,6.791416437257728,0.22247393897629458,-0.3139785941683284,0.21246417685298535,-0.5264427710213138
